DISTRICT	DT_CEN_CD	ST_CEN_CD	ST_NM	censuscode	sum
Sahibganj	7	20	Jharkhand	352	130
Godda	6	20	Jharkhand	351	134
Banka	23	10	Bihar	225	90.7176470588
Pakur	8	20	Jharkhand	353	74
Dumka	17	20	Jharkhand	362	256
Jamtara	18	20	Jharkhand	363	221.8431372549
Deoghar	5	20	Jharkhand	350	966
Jamui	36	10	Bihar	238	113
Giridih	4	20	Jharkhand	349	452
Munger	24	10	Bihar	226	906.5098039216
Lakhisarai	25	10	Bihar	227	230
Sheikhpura	26	10	Bihar	228	110
Nawada	35	10	Bihar	237	130
Nalanda	27	10	Bihar	229	999.4980392157
Kodarma	3	20	Jharkhand	348	153
Hazaribagh	15	20	Jharkhand	360	778.3882352941
Dhanbad	9	20	Jharkhand	354	6606.8
Bokaro	10	20	Jharkhand	355	5611
Puruliya	14	19	West Bengal	340	1288
Ramgarh	16	20	Jharkhand	361	1656.3764705882
Khunti	20	20	Jharkhand	365	19
Pashchimi Singhbhum	23	20	Jharkhand	368	357
Saraikela-kharsawan	24	20	Jharkhand	369	1940.1098039216
Purbi Singhbhum	12	20	Jharkhand	357	6586.2509803922
Pashchim Medinipur	18	19	West Bengal	344	2499
Bankura	13	19	West Bengal	339	1904.7725490196
Barddhaman	9	19	West Bengal	335	16972.3294117647
Birbhum	8	19	West Bengal	334	2330.2980392157
Hugli	12	19	West Bengal	338	9857.5960784314
Haora	15	19	West Bengal	341	8468.6509803922
North 24 Parganas	11	19	West Bengal	337	13889.7098039216
Nadia	10	19	West Bengal	336	2998.4235294118
Kolkata	16	19	West Bengal	342	7113.8117647059
South 24 Parganas	17	19	West Bengal	343	8480.0666666667
Murshidabad	7	19	West Bengal	333	3456.8823529412
Maldah	6	19	West Bengal	332	988
Dakshin Dinajpur	5	19	West Bengal	331	568.1098039216
Purba Medinipur	19	19	West Bengal	345	727
Ganjam	19	21	Odisha	388	2422.6666666667
Puri	18	21	Odisha	387	873
Khordha	17	21	Odisha	386	4635.0196078431
Nayagarh	16	21	Odisha	385	4
Cuttack	12	21	Odisha	381	4758.0509803922
Dhenkanal	14	21	Odisha	383	159
Anugul	15	21	Odisha	384	338
Jajapur	13	21	Odisha	382	290.0666666667
Kendujhar	6	21	Odisha	375	279
Kendrapara	10	21	Odisha	379	166
Jagatsinghapur	11	21	Odisha	380	615
Baleshwar	8	21	Odisha	377	579
Bhadrak	9	21	Odisha	378	338.9333333333
Mayurbhanj	7	21	Odisha	376	274
Debagarh	4	21	Odisha	373	0
Sambalpur	3	21	Odisha	372	1889
Jharsuguda	2	21	Odisha	371	1023
Bargarh	1	21	Odisha	370	270
Subarnapur	23	21	Odisha	392	97
Balangir	24	21	Odisha	393	447
Bauda	22	21	Odisha	391	0
Kandhamal	21	21	Odisha	390	29
Gajapati	20	21	Odisha	389	144.7490196078
Rayagada	27	21	Odisha	396	233
Kalahandi	26	21	Odisha	395	220
Nuapada	25	21	Odisha	394	31.8784313725
Raipur	11	22	Chhattisgarh	410	4917.9294117647
Nabarangapur	28	21	Odisha	397	63
Mahasamund	12	22	Chhattisgarh	411	149.8745098039
Janjgir-champa	6	22	Chhattisgarh	405	189
Durg	10	22	Chhattisgarh	409	8041
Dhamtari	13	22	Chhattisgarh	412	312.2823529412
Rajnandgaon	9	22	Chhattisgarh	408	881
Gondiya	11	27	Maharashtra	507	537
Nagpur	9	27	Maharashtra	505	12530.2549019608
Bhandara	10	27	Maharashtra	506	508
Garhchiroli	12	27	Maharashtra	508	16
Uttar Bastar Kanker	14	22	Chhattisgarh	413	115
Chandrapur	13	27	Maharashtra	509	3872.9647058824
Adilabad	1	28	Andhra Pradesh	532	3889.2196078431
Narayanpur	16	22	Chhattisgarh	415	13
Bijapur	18	22	Chhattisgarh	417	0
Bastar	15	22	Chhattisgarh	414	467
Koraput	29	21	Odisha	398	291
Dakshin Bastar Dantewada	17	22	Chhattisgarh	416	0
Malkangiri	30	21	Odisha	399	11
Visakhapatnam	13	28	Andhra Pradesh	544	10610.0745098039
East Godavari	14	28	Andhra Pradesh	545	7563.1333333333
Khammam	10	28	Andhra Pradesh	541	4833.6392156863
Warangal	9	28	Andhra Pradesh	540	6467.0470588235
Karimnagar	3	28	Andhra Pradesh	534	6587.6039215686
Krishna	16	28	Andhra Pradesh	547	8555.168627451
Nalgonda	8	28	Andhra Pradesh	539	3869.937254902
Guntur	17	28	Andhra Pradesh	548	9745.3333333333
Prakasam	18	28	Andhra Pradesh	549	4033.3960784314
West Godavari	15	28	Andhra Pradesh	546	4332.4823529412
Yanam	1	34	Puducherry	634	149.7294117647
Vizianagaram	12	28	Andhra Pradesh	543	990.6862745098
Srikakulam	11	28	Andhra Pradesh	542	1342.4235294118
Sri Potti Sriramulu Nellore	19	28	Andhra Pradesh	550	3954
Y.s.r.	20	28	Andhra Pradesh	551	2984
Chittoor	23	28	Andhra Pradesh	554	3200.7019607843
Thiruvallur	1	33	Tamil Nadu	602	12470.0078431373
Kancheepuram	3	33	Tamil Nadu	604	12764.8
Chennai	2	33	Tamil Nadu	603	8291.2941176471
Vellore	4	33	Tamil Nadu	605	5456.7647058824
Tiruvannamalai	5	33	Tamil Nadu	606	1481
Viluppuram	6	33	Tamil Nadu	607	1763.8784313726
Puducherry	2	34	Puducherry	635	2154.5607843137
Cuddalore	16	33	Tamil Nadu	617	4332.0901960784
Nagappattinam	17	33	Tamil Nadu	618	1128.9921568628
Ariyalur	15	33	Tamil Nadu	616	206.4980392157
Thanjavur	19	33	Tamil Nadu	620	3649.705882353
Karaikal	4	34	Puducherry	637	960.0235294118
Thiruvarur	18	33	Tamil Nadu	619	611.7529411765
Virudunagar	24	33	Tamil Nadu	625	4641.3490196079
Pudukkottai	20	33	Tamil Nadu	621	1188
Ramanathapuram	25	33	Tamil Nadu	626	954.3176470588
Sivaganga	21	33	Tamil Nadu	622	1760.9137254902
Tiruchirappalli	13	33	Tamil Nadu	614	5787.831372549
Madurai	22	33	Tamil Nadu	623	5863.4078431373
Dindigul	11	33	Tamil Nadu	612	1659.1803921569
Thoothukkudi	26	33	Tamil Nadu	627	4160.1333333333
Tirunelveli	27	33	Tamil Nadu	628	5281.4941176471
Kollam	13	32	Kerala	600	963.1607843137
Thiruvananthapuram	14	32	Kerala	601	2590.3843137255
Kanniyakumari	28	33	Tamil Nadu	629	1017
Alappuzha	11	32	Kerala	598	326
Pathanamthitta	12	32	Kerala	599	109
Kottayam	10	32	Kerala	597	346
Idukki	9	32	Kerala	596	26
Theni	23	33	Tamil Nadu	624	857
Tiruppur	32	33	Tamil Nadu	633	4942.4980392157
Coimbatore	31	33	Tamil Nadu	632	10447.137254902
Palakkad	6	32	Kerala	593	1053.5960784314
