DISTRICT	DT_CEN_CD	ST_CEN_CD	ST_NM	censuscode	sum
Baghpat	8	9	Uttar Pradesh	139	591.4431372549
Sonipat	8	6	Haryana	76	2919.7568627451
North West	1	7	NCT of Delhi	90	14875.7568627451
Gautam Buddha Nagar	10	9	Uttar Pradesh	141	7823.3882352941
Aligarh	12	9	Uttar Pradesh	143	4948.7647058824
Faridabad	20	6	Haryana	88	8941.5411764706
Palwal	21	6	Haryana	89	1187.2352941177
Mewat	19	6	Haryana	87	216.8392156863
Gurgaon	18	6	Haryana	86	5880.0823529412
South	9	7	NCT of Delhi	98	11635.2
New Delhi	5	7	NCT of Delhi	94	3155.1882352941
South West	8	7	NCT of Delhi	97	15509.1098039216
Central	6	7	NCT of Delhi	95	1210.3411764706
East	4	7	NCT of Delhi	93	5223.8117647059
North East	3	7	NCT of Delhi	92	4845.3568627451
North	2	7	NCT of Delhi	91	5043.4509803922
West	7	7	NCT of Delhi	96	8077.0666666667
Jhajjar	15	6	Haryana	83	1985.3882352941
Alwar	6	8	Rajasthan	104	2397
Rewari	17	6	Haryana	85	1121
Rohtak	14	6	Haryana	82	2985
Bhiwani	13	6	Haryana	81	1986.7647058824
Jind	9	6	Haryana	77	1190.0941176471
Panipat	7	6	Haryana	75	3214.9411764706
Karnal	6	6	Haryana	74	2418
Kaithal	5	6	Haryana	73	1773.831372549
Kurukshetra	4	6	Haryana	72	1814.0196078431
Patiala	14	3	Punjab	48	6835.9019607843
Ambala	2	6	Haryana	70	4397.3803921569
Yamunanagar	3	6	Haryana	71	2490.5490196079
Panchkula	1	6	Haryana	69	1577.1411764706
Sahibzada Ajit Singh Nagar	18	3	Punjab	52	3776.2901960784
Chandigarh	1	4	Chandigarh	55	7743.7882352941
Fatehgarh Sahib	6	3	Punjab	40	1029.7333333333
Ludhiana	7	3	Punjab	41	13850.8470588235
Sangrur	19	3	Punjab	53	2504.6039215686
Barnala	20	3	Punjab	54	743.6
Moga	8	3	Punjab	42	1233
Bathinda	12	3	Punjab	46	4587.6078431373
Faridkot	11	3	Punjab	45	1511
Mansa	13	3	Punjab	47	624
Fatehabad	10	6	Haryana	78	1014.6156862745
Sirsa	11	6	Haryana	79	1821.1490196079
Hisar	12	6	Haryana	80	3475.7490196079
Mahendragarh	16	6	Haryana	84	706
Jhunjhunun	5	8	Rajasthan	103	2836.8352941177
Churu	4	8	Rajasthan	102	2040
Sikar	13	8	Rajasthan	111	2281.7764705882
Hanumangarh	2	8	Rajasthan	100	2386.9803921569
Bikaner	3	8	Rajasthan	101	4494
Ganganagar	1	8	Rajasthan	99	2791.1450980392
Muktsar	10	3	Punjab	44	1667.8196078431
Firozpur	9	3	Punjab	43	3930.3019607843
Amritsar	15	3	Punjab	49	7762.7607843137
Gurdaspur	1	3	Punjab	35	2695.0549019608
Tarn Taran	16	3	Punjab	50	846.2235294118
Kapurthala	2	3	Punjab	36	1698.6509803922
Jalandhar	3	3	Punjab	37	7269
Hoshiarpur	4	3	Punjab	38	1563.2980392157
Kathua	7	1	Jammu & Kashmir	7	281
Samba	22	1	Jammu & Kashmir	22	177
Jammu	21	1	Jammu & Kashmir	21	9002.6470588235
Udhampur	19	1	Jammu & Kashmir	19	424
Doda	16	1	Jammu & Kashmir	16	0
Ramban	17	1	Jammu & Kashmir	17	0
Reasi	20	1	Jammu & Kashmir	20	80
Jaisalmer	16	8	Rajasthan	114	878
Jodhpur	15	8	Rajasthan	113	7067
Nagaur	14	8	Rajasthan	112	3536
Barmer	17	8	Rajasthan	115	1503
Pali	20	8	Rajasthan	118	1453.9450980392
Jalor	18	8	Rajasthan	116	662
Sirohi	19	8	Rajasthan	117	692.9137254902
Udaipur	32	8	Rajasthan	130	3336.9960784314
Banas Kantha	2	24	Gujarat	469	787
Kachchh	1	24	Gujarat	468	4420.2156862745
Jamnagar	10	24	Gujarat	477	7188.8470588235
Porbandar	11	24	Gujarat	478	1094.5333333333
Rajkot	9	24	Gujarat	476	12744.4745098039
Junagadh	12	24	Gujarat	479	2617.5803921569
Amreli	13	24	Gujarat	480	2733.768627451
Surendranagar	8	24	Gujarat	475	3164
Bhavnagar	14	24	Gujarat	481	7717.9725490196
Ahmadabad	7	24	Gujarat	474	18518.6274509804
Patan	3	24	Gujarat	470	568
Mahesana	4	24	Gujarat	471	1888
Gandhinagar	6	24	Gujarat	473	3880.1960784314
Sabar Kantha	5	24	Gujarat	472	765
Dungarpur	26	8	Rajasthan	124	238
Kheda	16	24	Gujarat	483	1353.7176470588
Panch Mahals	17	24	Gujarat	484	1311
Vadodara	19	24	Gujarat	486	12727.7294117647
Anand	15	24	Gujarat	482	2059.0235294118
Bharuch	21	24	Gujarat	488	10006.5607843137
Narmada	20	24	Gujarat	487	233.9529411765
Nandurbar	1	27	Maharashtra	497	1943.8980392157
Alirajpur	48	23	Madhya Pradesh	465	112
Jhabua	47	23	Madhya Pradesh	464	88
Dohad	18	24	Gujarat	485	518
Banswara	27	8	Rajasthan	125	271
Ratlam	17	23	Madhya Pradesh	434	1898.7176470588
Dhar	21	23	Madhya Pradesh	438	3385.3058823529
Barwani	24	23	Madhya Pradesh	441	746.8470588235
West Nimar	23	23	Madhya Pradesh	440	1734.0039215686
Indore	22	23	Madhya Pradesh	439	16148.1529411765
East Nimar	49	23	Madhya Pradesh	466	1564.7960784314
Dewas	20	23	Madhya Pradesh	437	2012
Ujjain	18	23	Madhya Pradesh	435	3737.2823529412
Sehore	28	23	Madhya Pradesh	445	979.5607843137
Shajapur	19	23	Madhya Pradesh	436	528
Rajgarh	25	23	Madhya Pradesh	442	377
Mandsaur	16	23	Madhya Pradesh	433	1183.7411764706
Pratapgarh	33	8	Rajasthan	131	208.0549019608
Jhalawar	31	8	Rajasthan	129	667.1333333333
Kota	29	8	Rajasthan	127	5562.5764705882
Baran	30	8	Rajasthan	128	696.6901960784
