DISTRICT	DT_CEN_CD	ST_CEN_CD	ST_NM	censuscode	mean
Kangra	2	2	Himachal Pradesh	24	4.4809011447
Kullu	4	2	Himachal Pradesh	26	1.3040775699
Kinnaur	12	2	Himachal Pradesh	34	0.3495909264
Mandi	5	2	Himachal Pradesh	27	3.8018552978
Hamirpur	6	2	Himachal Pradesh	28	7.4308523792
Solan	9	2	Himachal Pradesh	31	11.7705575092
Bilaspur	8	2	Himachal Pradesh	30	9.030980775
Una	7	2	Himachal Pradesh	29	8.612678703
Rupnagar	17	3	Punjab	51	13.2659375684
Shahid Bhagat Singh Nagar	5	3	Punjab	39	11.9088847651
Shimla	11	2	Himachal Pradesh	33	2.7430273486
Sirmaur	10	2	Himachal Pradesh	32	4.0045214003
Uttarkashi	1	5	Uttarakhand	56	0.411161418
Chamoli	2	5	Uttarakhand	57	0.527227461
Tehri Garhwal	4	5	Uttarakhand	59	3.5785926859
Rudraprayag	3	5	Uttarakhand	58	0.7730134398
Dehradun	5	5	Uttarakhand	60	9.9667539756
Garhwal	6	5	Uttarakhand	61	2.379937283
Saharanpur	1	9	Uttar Pradesh	132	5.8288807167
Hardwar	13	5	Uttarakhand	68	13.150756573
Muzaffarnagar	2	9	Uttar Pradesh	133	7.2438748922
Bijnor	3	9	Uttar Pradesh	134	3.4610508715
Almora	9	5	Uttarakhand	64	2.9866645835
Nainital	11	5	Uttarakhand	66	4.6529097419
Udham Singh Nagar	12	5	Uttarakhand	67	13.5890514551
Rampur	5	9	Uttar Pradesh	136	5.1829894486
Moradabad	4	9	Uttar Pradesh	135	5.8476131937
Bareilly	19	9	Uttar Pradesh	150	4.8244287688
Budaun	18	9	Uttar Pradesh	149	1.6033583408
Jyotiba Phule Nagar	6	9	Uttar Pradesh	137	3.9205541078
Bulandshahr	11	9	Uttar Pradesh	142	5.1576961405
Ghaziabad	9	9	Uttar Pradesh	140	16.4926855308
Meerut	7	9	Uttar Pradesh	138	10.0829260279
Baghpat	8	9	Uttar Pradesh	139	5.7306802191
Sonipat	8	6	Haryana	76	17.2710939469
North West	1	7	NCT of Delhi	90	53.7461458105
