DISTRICT	DT_CEN_CD	ST_CEN_CD	ST_NM	avg_lights_x_pct	avg_vis	censuscode	cf_cvg	stable_lights
Nagaur	14	8	Rajasthan	1.37E+10	8.29E+10	112	1.12E+12	5.28E+10
Barmer	17	8	Rajasthan	9.95E+09	1.07E+11	115	1.93E+12	2.20E+10
Pali	20	8	Rajasthan	1.10E+10	6.13E+10	118	7.65E+11	4.37E+10
Jalor	18	8	Rajasthan	3.84E+09	4.55E+10	116	7.02E+11	1.94E+10
Sirohi	19	8	Rajasthan	7.18E+09	2.73E+10	117	3.38E+11	1.83E+10
Udaipur	32	8	Rajasthan	1.39E+10	5.78E+10	130	7.46E+11	2.91E+10
Banas Kantha	2	24	Gujarat	1.30E+10	5.90E+10	469	7.19E+11	4.67E+10
Kachchh	1	24	Gujarat	2.98E+10	1.83E+11	468	3.14E+12	5.86E+10
Jamnagar	10	24	Gujarat	3.39E+10	7.53E+10	477	8.36E+11	7.08E+10
Porbandar	11	24	Gujarat	9.74E+09	1.75E+10	478	1.81E+11	1.69E+10
Rajkot	9	24	Gujarat	4.53E+10	8.90E+10	476	7.98E+11	8.79E+10
Junagadh	12	24	Gujarat	4.65E+10	7.20E+10	479	6.28E+11	6.86E+10
Amreli	13	24	Gujarat	2.25E+10	5.51E+10	480	5.64E+11	5.43E+10
Surendranagar	8	24	Gujarat	2.00E+10	6.43E+10	475	7.33E+11	5.87E+10
Bhavnagar	14	24	Gujarat	2.92E+10	6.36E+10	481	5.99E+11	6.21E+10
Ahmadabad	7	24	Gujarat	4.04E+10	7.09E+10	474	5.71E+11	6.56E+10
Patan	3	24	Gujarat	5.29E+09	2.87E+10	470	3.95E+11	1.98E+10
Mahesana	4	24	Gujarat	2.46E+10	4.25E+10	471	3.06E+11	4.25E+10
Gandhinagar	6	24	Gujarat	2.75E+10	3.24E+10	473	1.47E+11	3.24E+10
Sabar Kantha	5	24	Gujarat	1.26E+10	4.69E+10	472	5.02E+11	4.36E+10
Dungarpur	26	8	Rajasthan	1.96E+09	1.70E+10	124	2.44E+11	8.32E+09
Kheda	16	24	Gujarat	1.22E+10	3.02E+10	483	2.77E+11	3.01E+10
Panch Mahals	17	24	Gujarat	6.55E+09	3.02E+10	484	3.58E+11	2.80E+10
Vadodara	19	24	Gujarat	3.25E+10	6.29E+10	486	5.10E+11	5.95E+10
Anand	15	24	Gujarat	1.51E+10	2.60E+10	482	2.06E+11	2.48E+10
Bharuch	21	24	Gujarat	4.47E+10	6.37E+10	488	3.78E+11	6.34E+10
Narmada	20	24	Gujarat	3.03E+09	1.44E+10	487	1.98E+11	1.08E+10
Nandurbar	1	27	Maharashtra	6.02E+09	3.02E+10	497	4.07E+11	2.14E+10
Alirajpur	48	23	Madhya Pradesh	1.40E+09	1.41E+10	465	2.18E+11	5.08E+09
Jhabua	47	23	Madhya Pradesh	2.01E+09	1.62E+10	464	2.20E+11	1.09E+10
Dohad	18	24	Gujarat	2.25E+09	1.74E+10	485	2.38E+11	1.21E+10
Banswara	27	8	Rajasthan	2.71E+09	2.02E+10	125	2.91E+11	1.01E+10
Ratlam	17	23	Madhya Pradesh	7.91E+09	2.90E+10	434	3.24E+11	2.59E+10
Dhar	21	23	Madhya Pradesh	1.04E+10	4.58E+10	438	5.33E+11	3.74E+10
Barwani	24	23	Madhya Pradesh	4.05E+09	2.60E+10	441	3.57E+11	1.58E+10
West Nimar	23	23	Madhya Pradesh	7.93E+09	4.15E+10	440	5.44E+11	3.03E+10
Indore	22	23	Madhya Pradesh	2.46E+10	4.01E+10	439	2.62E+11	3.87E+10
East Nimar	49	23	Madhya Pradesh	5.41E+09	3.42E+10	466	4.92E+11	1.66E+10
Dewas	20	23	Madhya Pradesh	9.96E+09	3.82E+10	437	4.58E+11	2.89E+10
Ujjain	18	23	Madhya Pradesh	1.22E+10	3.97E+10	435	4.09E+11	3.94E+10
Sehore	28	23	Madhya Pradesh	6.37E+09	3.29E+10	445	4.32E+11	2.37E+10
Shajapur	19	23	Madhya Pradesh	9.51E+09	3.82E+10	436	4.17E+11	3.67E+10
Rajgarh	25	23	Madhya Pradesh	9.40E+09	3.71E+10	442	4.10E+11	3.55E+10
Mandsaur	16	23	Madhya Pradesh	7.41E+09	3.21E+10	433	3.82E+11	2.93E+10
